,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit
40,F,Abbotsford,Baker,Bakery,Abbotsford,Stores,44.60660014,2-5,78.34173929,Stores
42,F,Burnaby,Baker,Bakery,Burnaby,Stores,41.25328235,2-5,56.21994065,Stores
43,M,Surrey,Baker,Bakery,Surrey,Stores,62.05182058,2-5,152.6467667,Stores
44,F,Victoria,Baker,Bakery,Victoria,Stores,28.07544199,6-10,0.0,Stores
45,F,Surrey,Baker,Bakery,Surrey,Stores,49.90577748,2-5,80.24254043,Stores
46,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,50.07982,0-1,78.7532824,HeadOffice
47,M,Squamish,Baker,Bakery,Squamish,Stores,33.80945018,6-10,0.0,Stores
48,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,51.60595642,2-5,88.91127783,Stores
49,M,Vancouver,Clerk,Accounting,Vancouver,FinanceAndAccounting,38.678832,21-30,21.38553248,HeadOffice
50,M,Burnaby,Baker,Bakery,Burnaby,Stores,30.29765034,6-10,3.737100223,Stores
51,M,Penticton,Baker,Bakery,Kelowna,Stores,43.68608721,0-1,38.06658377,Stores
52,M,New Westminster,Baker,Bakery,New Westminster,Stores,50.04741662,6-10,116.2269635,Stores
53,F,Nanaimo,Baker,Bakery,Nanaimo,Stores,34.68894529,2-5,0.0,Stores
54,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,29.32983419,2-5,0.0,Stores
55,F,Sidney,Baker,Bakery,Victoria,Stores,50.01054543,2-5,77.13030678,Stores
56,M,Coquitlam,Baker,Bakery,Nanaimo,Stores,24.50853,2-5,0.0,Stores
57,M,Chilliwack,Baker,Bakery,Chilliwack,Stores,42.62840469,2-5,24.79287091,Stores
58,M,Okanagan Mission,Baker,Bakery,Kelowna,Stores,54.04930086,2-5,121.4480075,Stores
59,M,New Westminster,Baker,Bakery,New Westminster,Stores,43.91047001,2-5,59.7836809,Stores
60,M,Ganges,Baker,Bakery,Victoria,Stores,42.59140213,2-5,55.62426288,Stores
61,F,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55.76305,11-20,0.0,HeadOffice
62,F,Prince George,Baker,Bakery,Prince George,Stores,31.16665889,0-1,0.0,Stores
63,M,Atlin,Baker,Bakery,Terrace,Stores,43.26243975,6-10,55.05895104,Stores
64,F,Kamloops,Baker,Bakery,Kamloops,Stores,35.61924833,2-5,44.6346054,Stores
65,M,Whistler,Baker,Bakery,Squamish,Stores,39.26200269,6-10,42.45739254,Stores
66,F,Surrey,Baker,Bakery,Surrey,Stores,22.5364126,6-10,0.0,Stores
67,F,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,39.73937,11-20,0.0,HeadOffice
68,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,46.94959435,2-5,107.7955005,Stores
69,M,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44.10973,11-20,78.84098352,HeadOffice
70,M,New Westminister,Baker,Bakery,New Westminister,Stores,52.78875734,2-5,110.1543068,Stores
71,F,Gibsons,Baker,Bakery,West Vancouver,Stores,35.63044266,2-5,33.93440994,Stores
72,M,Vernon,Baker,Bakery,Vernon,Stores,42.4342557,2-5,28.60483097,Stores
73,F,Burnaby,Baker,Bakery,Burnaby,Stores,40.96753752,2-5,44.9874293,Stores
74,F,Fauquier,Baker,Bakery,Trail,Stores,46.77086356,2-5,126.5011301,Stores
75,F,Victoria,Baker,Bakery,Victoria,Stores,45.3008103,6-10,19.6191458,Stores
76,M,Kamloops,Baker,Bakery,Kamloops,Stores,38.29655279,6-10,0.0,Stores
77,M,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35.4939,6-10,44.97411152,HeadOffice
78,F,Mackenzie,Baker,Bakery,Prince George,Stores,41.66134173,2-5,45.95478779,Stores
79,F,New Westminster,Baker,Bakery,New Westminster,Stores,43.5118766,2-5,83.3173005,Stores
80,F,Squamish,Baker,Bakery,Squamish,Stores,54.00481868,2-5,136.3424045,Stores
81,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,46.22423463,2-5,53.3120259,Stores
82,F,Gold Bridge,Baker,Bakery,Kamloops,Stores,47.65733071,2-5,96.6132406,Stores
83,F,Penticton,Baker,Bakery,Kelowna,Stores,51.99137493,2-5,140.9111414,Stores
84,M,Victoria,Baker,Bakery,Victoria,Stores,33.3683369,2-5,31.69229831,Stores
85,M,New Westminster,Baker,Bakery,New Westminster,Stores,47.6040848,2-5,12.68410865,Stores
86,M,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,34.6622,11-20,54.30033232,HeadOffice
87,F,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37.24006,11-20,0.0,HeadOffice
88,F,Duncan,Baker,Bakery,Quesnel,Stores,45.47882196,6-10,103.3493697,Stores
89,F,Kelowna,Baker,Bakery,Kelowna,Stores,26.91367155,2-5,0.0,Stores
90,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,37.74242382,2-5,49.84641191,Stores
91,F,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40.49192,0-1,58.28770605,HeadOffice
92,M,Victoria,Baker,Bakery,Victoria,Stores,48.62992513,6-10,110.8124796,Stores
93,F,Fort Fraser,Baker,Bakery,Prince George,Stores,52.18642804,2-5,158.6843997,Stores
94,F,Victoria,Baker,Bakery,Victoria,Stores,37.91257982,2-5,73.47603875,Stores
95,M,Nelson,Baker,Bakery,Nelson,Stores,29.40947244,2-5,2.187241945,Stores
96,F,New Westminster,Baker,Bakery,New Westminster,Stores,51.17022316,2-5,99.80856689,Stores
97,F,Kamloops,Baker,Bakery,Kamloops,Stores,39.46457145,2-5,34.77626973,Stores
98,F,Kaslo,Baker,Bakery,Cranbrook,Stores,26.67920383,2-5,0.0,Stores
99,F,Burnaby,Baker,Bakery,Burnaby,Stores,46.54737692,6-10,81.7411048,Stores
100,F,Victoria,Baker,Bakery,Victoria,Stores,39.23785234,2-5,51.75805976,Stores
101,F,New Westminster,Baker,Bakery,New Westminster,Stores,49.02908732,2-5,121.0074252,Stores
102,F,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43.74006,11-20,48.37309828,HeadOffice
103,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,55.82635616,2-5,137.4598877,Stores
104,F,Victoria,Baker,Bakery,Victoria,Stores,44.00105092,2-5,98.5576777,Stores
105,M,Creston,Baker,Bakery,Cranbrook,Stores,29.6692902,2-5,0.0,Stores
106,F,Wynndel,Baker,Bakery,Cranbrook,Stores,46.08440537,2-5,44.00185941,Stores
107,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,27.86599272,2-5,0.0,Stores
108,F,Burnaby,Baker,Bakery,Burnaby,Stores,37.38317605,2-5,39.10172396,Stores
109,F,Muncho Lake,Baker,Bakery,Fort St John,Stores,50.43589901,6-10,138.9330403,Stores
110,M,New Westminster,Baker,Bakery,New Westminster,Stores,46.58616386,2-5,63.03007856,Stores
111,M,Creston,Baker,Bakery,Cranbrook,Stores,50.28113997,2-5,98.3228922,Stores
112,M,Kitimat,Baker,Bakery,Terrace,Stores,39.04622933,2-5,56.30433228,Stores
113,F,Lac La Hache,Baker,Bakery,Williams Lake,Stores,37.49357924,2-5,25.46792975,Stores
114,F,Armstrong,Baker,Bakery,Vernon,Stores,47.5184211,2-5,96.88371667,Stores
115,F,Victoria,Baker,Bakery,Victoria,Stores,50.24461391,2-5,118.490501,Stores
116,F,New Westminster,Baker,Bakery,New Westminster,Stores,40.32982676,6-10,34.02042059,Stores
117,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,36.92447866,6-10,72.79408579,Stores
118,M,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,33.17869,2-5,0.0,HeadOffice
119,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,32.75941298,6-10,0.0,Stores
120,F,Duncan,Baker,Bakery,Quesnel,Stores,58.57572963,6-10,153.2632323,Stores
121,M,Duncan,Baker,Bakery,Quesnel,Stores,23.94839693,2-5,0.0,Stores
122,M,Quesnel,Baker,Bakery,Quesnel,Stores,43.20353674,6-10,53.84737103,Stores
123,F,Hixon,Baker,Bakery,Prince George,Stores,52.64638663,2-5,113.9617749,Stores
124,M,Fauquier,Baker,Bakery,Trail,Stores,45.82458879,2-5,79.10668824,Stores
125,M,Surrey,Baker,Bakery,Surrey,Stores,35.53798668,6-10,29.98231177,Stores
126,F,Wynndel,Baker,Bakery,Cranbrook,Stores,37.84977345,2-5,68.40403177,Stores
127,F,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43.2858,21-30,30.99399888,HeadOffice
128,F,Ocean Falls,Baker,Bakery,Ocean Falls,Stores,24.36946429,2-5,0.0,Stores
129,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,45.92597301,6-10,40.05948151,Stores
130,F,Vallican,Baker,Bakery,Trail,Stores,32.63626674,2-5,49.65651125,Stores
131,F,North Pender Island,Baker,Bakery,Victoria,Stores,39.38889368,2-5,94.2773662,Stores
132,M,Victoria,Baker,Bakery,Victoria,Stores,35.69832217,2-5,58.09452779,Stores
133,M,Montney,Baker,Bakery,Fort St John,Stores,49.71959048,2-5,62.16083824,Stores
134,M,Vancouver,Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,54.67226,11-20,30.45802032,HeadOffice
135,F,Ganges,Baker,Bakery,Victoria,Stores,44.00556211,2-5,90.81179196,Stores
136,M,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36.480086,11-20,37.1157124,HeadOffice
137,M,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,55.76305,11-20,0.0,HeadOffice
138,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,43.1563698,2-5,63.18923992,Stores
139,M,Prince George,Baker,Bakery,Prince George,Stores,56.55995386,2-5,101.9347516,Stores
140,M,Burns Lake,Baker,Bakery,Prince George,Stores,43.12316447,2-5,45.48992662,Stores
141,F,Midway,Baker,Bakery,Trail,Stores,50.35361623,2-5,124.2025327,Stores
142,M,Victoria,Baker,Bakery,Victoria,Stores,49.47613903,2-5,56.92397595,Stores
143,M,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,39.73937,11-20,0.0,HeadOffice
144,F,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44.10973,11-20,111.7755846,HeadOffice
145,F,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.4939,11-20,0.0,HeadOffice
146,M,Westwold,Baker,Bakery,Vernon,Stores,61.44050167,2-5,96.260697,Stores
147,M,Victoria,Baker,Bakery,Victoria,Stores,47.87764919,2-5,58.15296878,Stores
148,F,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,34.6622,6-10,40.14572515,HeadOffice
149,F,Vananda,Baker,Bakery,Nanaimo,Stores,37.85526055,6-10,92.24730012,Stores
150,M,Terrace,Baker,Bakery,Terrace,Stores,57.89963249,6-10,116.0821581,Stores
151,M,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,37.24006,2-5,24.50390384,HeadOffice
152,M,New Westminster,Baker,Bakery,New Westminster,Stores,37.97420752,2-5,17.06972082,Stores
153,F,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40.49192,6-10,90.16966119,HeadOffice
154,M,Victoria,Baker,Bakery,Victoria,Stores,49.07042916,6-10,46.52578004,Stores
155,F,Golden,Baker,Bakery,Cranbrook,Stores,55.93339775,2-5,156.6886593,Stores
156,F,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,27.38177556,6-10,14.38568387,Stores
157,F,Vernon,Baker,Bakery,Vernon,Stores,51.85696413,2-5,113.2580344,Stores
158,F,Hixon,Baker,Bakery,Prince George,Stores,61.3978081,2-5,159.968214,Stores
160,F,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43.74006,21-30,0.0,HeadOffice
161,M,New Westminster,Baker,Bakery,New Westminster,Stores,40.45052007,2-5,79.12363725,Stores
162,M,White Rock,Baker,Bakery,White Rock,Stores,57.35063799,6-10,154.2577252,Stores
163,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,31.38918207,2-5,0.0,Stores
164,M,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35.80744,11-20,0.0,HeadOffice
165,F,Richmond,Baker,Bakery,Richmond,Stores,52.1325405,6-10,88.45913805,Stores
166,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,30.55156977,2-5,0.0,Stores
167,M,Whistler,Baker,Bakery,Squamish,Stores,54.55066069,6-10,95.49894843,Stores
168,M,Surrey,Baker,Bakery,Surrey,Stores,49.85965201,2-5,120.0797189,Stores
169,F,Vancouver,Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43.2858,11-20,0.0,HeadOffice
170,F,Logan Lake,Baker,Bakery,Kamloops,Stores,30.04004847,2-5,0.0,Stores
171,F,Summerland,Baker,Bakery,Kelowna,Stores,42.51405735,0-1,82.89702302,Stores
172,F,Victoria,Baker,Bakery,Victoria,Stores,49.27493559,2-5,121.3682638,Stores
173,M,Prince George,Baker,Bakery,Prince George,Stores,38.15800998,2-5,34.20118293,Stores
174,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45.5594,11-20,69.47820963,HeadOffice
175,M,Kelowna,Baker,Bakery,Kelowna,Stores,44.0545011,2-5,56.19587246,Stores
176,F,New Westminster,Baker,Bakery,New Westminster,Stores,43.53401993,2-5,61.49474478,Stores
177,F,Victoria,Baker,Bakery,Victoria,Stores,42.63644281,6-10,60.09046813,Stores
178,F,Victoria,Baker,Bakery,Victoria,Stores,44.24521906,0-1,66.31549844,Stores
179,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,45.94124227,2-5,71.55570239,Stores
180,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,37.99890445,6-10,33.94380532,Stores
181,F,Victoria,Baker,Bakery,Victoria,Stores,33.403431,2-5,46.92397933,Stores
182,M,Langley,Baker,Bakery,Langley,Stores,40.34235317,2-5,40.23300149,Stores
183,M,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,37.80852455,2-5,29.16170217,Stores
184,F,Victoria,Baker,Bakery,Victoria,Stores,42.31715261,2-5,44.15691237,Stores
185,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45.01263,11-20,47.51121024,HeadOffice
186,M,Kamloops,Baker,Bakery,Kamloops,Stores,34.28047515,2-5,0.0,Stores
187,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,49.14973,0-1,121.7851932,HeadOffice
188,M,Victoria,Baker,Bakery,Victoria,Stores,35.36492589,2-5,31.13908709,Stores
189,F,New Westminster,Baker,Bakery,New Westminster,Stores,53.64586019,2-5,79.22102251,Stores
190,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,43.934345,21-30,38.55781831,HeadOffice
191,F,Chilliwack,Baker,Bakery,Chilliwack,Stores,19.19153395,2-5,0.0,Stores
192,F,Huntingdon,Baker,Bakery,Abbotsford,Stores,46.68367521,2-5,44.74428082,Stores
193,M,Nelson,Baker,Bakery,Nelson,Stores,44.60240143,2-5,93.42104381,Stores
194,M,Burnaby,Baker,Bakery,Burnaby,Stores,48.76869491,6-10,96.65594514,Stores
195,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,50.76459344,0-1,71.73266923,Stores
196,M,Yale,Baker,Bakery,Chilliwack,Stores,59.01548877,2-5,109.2478897,Stores
197,M,Aiyansh,Baker,Bakery,Terrace,Stores,35.98656738,2-5,12.57657646,Stores
198,M,Richmond,Baker,Bakery,Richmond,Stores,51.39517039,2-5,34.0739579,Stores
199,F,Penticton,Baker,Bakery,Kelowna,Stores,57.43314763,6-10,154.8111128,Stores
200,M,Richmond,Baker,Bakery,Richmond,Stores,52.65101839,2-5,90.2876122,Stores
201,M,Victoria,Baker,Bakery,Victoria,Stores,52.1874037,2-5,113.0661266,Stores
202,F,Haney,Baker,Bakery,Haney,Stores,51.77301121,2-5,106.5730043,Stores
203,F,New Westminster,Baker,Bakery,New Westminster,Stores,35.11682533,6-10,12.10318321,Stores
204,M,Kamloops,Baker,Bakery,Kamloops,Stores,52.99893588,2-5,84.32384993,Stores
205,M,Surrey,Baker,Bakery,Surrey,Stores,43.73002137,2-5,66.34602697,Stores
206,M,Richmond,Baker,Bakery,Richmond,Stores,40.93856989,2-5,0.0,Stores
207,F,Nelson,Baker,Bakery,Nelson,Stores,18.95983224,2-5,0.0,Stores
208,F,Bowen Island,Auditor,Audit,Vancouver,FinanceAndAccounting,57.87456,11-20,72.92419805,HeadOffice
209,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,53.312967,31-40,0.0,HeadOffice
210,M,Fort Langley,Baker,Bakery,Langley,Stores,32.50307819,2-5,0.0,Stores
211,M,Clinton,Baker,Bakery,Kamloops,Stores,36.38184177,2-5,33.52879809,Stores
212,M,Prince George,Baker,Bakery,Prince George,Stores,44.84727769,2-5,61.73170524,Stores
214,M,Victoria,Baker,Bakery,Victoria,Stores,54.43216037,2-5,111.0545762,Stores
215,M,Surrey,Baker,Bakery,Surrey,Stores,60.37304921,2-5,174.6845171,Stores
216,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,37.098383,11-20,46.77119065,HeadOffice
217,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44.93259,11-20,41.62491736,HeadOffice
218,M,Victoria,Baker,Bakery,Victoria,Stores,43.91164167,6-10,95.4168043,Stores
219,M,Victoria,Baker,Bakery,Victoria,Stores,45.45783561,2-5,22.49132554,Stores
220,F,Kelowna,Baker,Bakery,Kelowna,Stores,37.49657444,6-10,59.38794448,Stores
221,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,49.67844,11-20,57.22786992,HeadOffice
222,M,Surrey,Baker,Bakery,Surrey,Stores,42.78966516,2-5,45.13933554,Stores
223,M,Victoria,Baker,Bakery,Victoria,Stores,34.80801888,6-10,50.51860074,Stores
224,M,Pender Harbour,Baker,Bakery,Victoria,Stores,44.71639495,2-5,62.15482382,Stores
225,F,New Westminster,Baker,Bakery,New Westminster,Stores,39.93536429,6-10,16.055531,Stores
226,F,Kamloops,Baker,Bakery,Kamloops,Stores,47.50043293,2-5,85.37866147,Stores
227,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44.185803,21-30,0.0,HeadOffice
228,M,Victoria,Baker,Bakery,Victoria,Stores,41.60450461,2-5,39.67547177,Stores
229,F,Parksville,Baker,Bakery,Nanaimo,Stores,44.22969208,6-10,57.18578016,Stores
230,F,Kamloops,Baker,Bakery,Kamloops,Stores,37.2991166,6-10,38.10079038,Stores
231,F,Quesnel,Baker,Bakery,Quesnel,Stores,42.46407075,2-5,118.5860854,Stores
232,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,39.31457,11-20,28.89700216,HeadOffice
233,M,New Westminster,Baker,Bakery,New Westminster,Stores,43.35590303,6-10,73.39635973,Stores
234,M,New Westminster,Baker,Bakery,New Westminster,Stores,48.48461962,2-5,86.86241559,Stores
235,F,Richmond,Baker,Bakery,Richmond,Stores,45.28880825,6-10,106.7733033,Stores
236,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,34.54452812,6-10,0.0,Stores
237,F,Mcleese Lake,Baker,Bakery,Williams Lake,Stores,51.7865376,2-5,107.8343573,Stores
238,M,Surrey,Baker,Bakery,Surrey,Stores,43.46696293,2-5,10.68473537,Stores
239,F,Fort St John,Baker,Bakery,Fort St John,Stores,37.71197934,2-5,31.99564508,Stores
240,F,Campbell River,Baker,Bakery,Nanaimo,Stores,51.03145944,6-10,131.023489,Stores
241,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,54.49284808,6-10,123.5629654,Stores
242,F,Wells,Baker,Bakery,Kamloops,Stores,28.9172471,2-5,21.03904881,Stores
243,F,New Westminister,Baker,Bakery,New Westminister,Stores,55.70889907,2-5,173.8371942,Stores
244,M,Vancouver,Manager,Bakery,Vancouver,Stores,43.19064154,6-10,20.93704925,Stores
245,F,Manning Park,Baker,Bakery,Chilliwack,Stores,38.10720123,2-5,47.54204413,Stores
246,M,Vancouver,Manager,Bakery,Vancouver,Stores,37.74238941,2-5,30.81552612,Stores
247,F,Decker Lake,Baker,Bakery,Prince George,Stores,36.48949145,6-10,27.60126686,Stores
248,F,Salmon Arm,Baker,Bakery,Kamloops,Stores,54.75064529,6-10,152.1244924,Stores
249,F,Victoria,Baker,Bakery,Victoria,Stores,44.77484922,2-5,39.57679255,Stores
250,M,Burnaby,Baker,Bakery,Burnaby,Stores,56.11144912,6-10,174.8647281,Stores
251,F,Prince George,Baker,Bakery,Prince George,Stores,34.11491876,2-5,4.006486432,Stores
252,M,Sooke,Baker,Bakery,Victoria,Stores,35.97228115,2-5,65.57723116,Stores
253,M,Vernon,Baker,Bakery,Vernon,Stores,31.47856723,2-5,0.0,Stores
254,F,Prince George,Baker,Bakery,Prince George,Stores,35.7258357,2-5,44.50048614,Stores
255,F,Horsefly,Baker,Bakery,Prince George,Stores,30.61040793,2-5,0.0,Stores
256,M,Invermere,Baker,Bakery,Cranbrook,Stores,44.57034084,2-5,91.35291618,Stores
257,F,Creston,Baker,Bakery,Cranbrook,Stores,38.19626612,6-10,59.95757031,Stores
258,F,New Westminster,Baker,Bakery,New Westminster,Stores,38.31640412,2-5,28.53802654,Stores
259,F,Topley,Baker,Bakery,Prince George,Stores,54.60035641,2-5,112.6071529,Stores
260,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,52.62338815,2-5,84.6091321,Stores
261,M,Vancouver,Manager,Bakery,Vancouver,Stores,32.62756763,6-10,20.52608989,Stores
262,M,Vancouver,Manager,Bakery,Vancouver,Stores,29.37409177,2-5,0.0,Stores
263,M,Armstrong,Baker,Bakery,Vernon,Stores,36.14779144,2-5,26.70137233,Stores
264,M,Field,Baker,Bakery,Cranbrook,Stores,46.19207185,2-5,28.78416405,Stores
265,F,New Westminster,Baker,Bakery,New Westminster,Stores,32.16838201,6-10,40.49575113,Stores
266,M,Youbou,Baker,Bakery,Victoria,Stores,39.94819217,2-5,49.90548322,Stores
267,M,Fort St John,Baker,Bakery,Fort St John,Stores,44.77063917,2-5,71.6224049,Stores
268,F,Kelowna,Baker,Bakery,Kelowna,Stores,40.23564643,6-10,22.72600698,Stores
269,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,47.7864692,2-5,20.11226488,Stores
270,M,Bowen Island,Manager,Bakery,Vancouver,Stores,21.96085504,2-5,0.0,Stores
271,F,Surrey,Baker,Bakery,Surrey,Stores,49.23854802,2-5,75.60492624,Stores
272,M,Sorrento,Baker,Bakery,Kamloops,Stores,38.48180344,2-5,3.026643536,Stores
273,M,Vancouver,Manager,Bakery,Vancouver,Stores,37.7312481,2-5,18.76798501,Stores
274,M,Vancouver,Manager,Bakery,Vancouver,Stores,57.08813022,2-5,122.660478,Stores
275,F,Surrey,Baker,Bakery,Surrey,Stores,34.28082043,6-10,28.39811691,Stores
276,F,Victoria,Baker,Bakery,Victoria,Stores,29.30370209,2-5,36.26095364,Stores
277,F,Victoria,Baker,Bakery,Victoria,Stores,53.97279984,2-5,73.9432002,Stores
278,M,Vancouver,Manager,Bakery,Vancouver,Stores,55.75102139,6-10,85.85659878,Stores
279,F,Vancouver,Manager,Bakery,Vancouver,Stores,49.4851649,2-5,74.28087994,Stores
280,M,Victoria,Baker,Bakery,Victoria,Stores,45.95132139,2-5,104.0283792,Stores
